"Date","Total Revenue","Sold Rooms Including Group Picked Up","Sold Rooms Excluding Groups And Picked Up","Rooms Sold Excluding Complimentary And House Rooms","OOO","Group Allocations","Group Rooms Picked Up","Total Rooms Sold Allocated","Guaranteed","Non Guaranteed","Stay Overs","ADR"
"Aug 24, 2025","1,966.88","29","29","29","0","0","0","29","32","0","29","67.82"
"Aug 25, 2025","2,622.45","35","35","35","0","0","0","35","38","0","34","74.93"
"Aug 26, 2025","2,065.57","21","21","21","8","0","0","21","25","0","21","98.36"
"Aug 27, 2025","1,641.06","23","23","23","0","0","0","23","31","0","23","71.35"
"Aug 28, 2025","1,468.37","16","16","16","7","0","0","16","21","0","16","91.77"
"Aug 29, 2025","7,178.89","63","12","63","0","0","51","63","68","0","63","113.95"
"Aug 30, 2025","2,077.85","16","16","16","5","0","0","16","19","0","16","129.87"
"Aug 31, 2025","1,859.70","20","20","20","5","0","0","20","21","0","20","92.98"
"Sep 01, 2025","643.53","9","-5","9","5","0","14","9","27","0","9","71.50"
"Sep 02, 2025","1,772.99","19","19","19","5","0","0","19","24","0","19","93.32"
"Sep 03, 2025","1,722.35","20","20","20","6","0","0","20","25","0","20","86.12"
"Sep 04, 2025","1,317.40","16","14","16","6","0","2","16","20","0","16","82.34"
"Sep 05, 2025","2,534.67","28","24","28","1","0","4","28","42","0","28","90.52"
"Sep 06, 2025","4,410.84","37","33","37","7","0","4","37","51","0","37","119.21"
"Sep 07, 2025","1,244.22","13","13","13","7","0","0","13","17","0","13","95.71"
"Sep 08, 2025","1,966.71","19","19","19","7","0","0","19","19","0","4","103.51"
"Sep 09, 2025","1,700.73","22","22","22","7","0","0","22","22","0","11","77.31"
"Sep 10, 2025","1,012.41","15","15","15","7","0","0","13","13","0","6","77.88"
"Sep 11, 2025","1,356.82","16","16","16","6","0","0","16","16","0","4","84.80"
"Sep 12, 2025","3,471.82","34","34","34","6","0","0","34","34","0","10","102.11"
"Sep 13, 2025","4,598.50","45","33","45","6","0","12","45","45","0","24","102.19"
"Sep 14, 2025","105.32","2","2","2","6","0","0","2","2","0","1","52.66"
"Sep 15, 2025","211.20","3","3","3","6","0","0","3","3","0","1","70.40"
"Sep 16, 2025","395.69","5","5","5","6","0","0","5","5","0","3","79.14"
"Sep 17, 2025","470.14","7","7","7","6","0","0","7","7","0","4","67.16"
"Sep 18, 2025","822.71","9","9","9","6","0","0","9","9","0","4","91.41"
"Sep 19, 2025","1,098.83","11","11","11","6","0","0","11","11","0","4","99.89"
"Sep 20, 2025","1,552.12","14","13","14","6","0","1","14","14","0","9","110.87"
"Sep 21, 2025","458.80","7","7","7","6","0","0","7","7","0","6","65.54"
"Sep 22, 2025","342.15","4","4","4","6","0","0","4","4","0","3","85.54"
"Sep 23, 2025","574.72","6","6","6","6","0","0","6","6","0","3","95.79"
"Sep 24, 2025","349.57","4","4","4","6","0","0","4","4","0","4","87.39"
"Sep 25, 2025","475.66","6","6","6","6","0","0","6","6","0","1","79.28"
"Sep 26, 2025","1,153.04","12","12","12","6","0","0","12","12","0","4","96.09"
"Sep 27, 2025","1,469.66","17","17","17","6","0","0","17","17","0","8","86.45"
"Sep 28, 2025","419.33","5","5","5","6","0","0","5","5","0","5","83.87"
"Sep 29, 2025","239.61","3","3","3","6","0","0","3","3","0","1","79.87"
"Sep 30, 2025","198.61","3","3","3","6","0","0","3","3","0","2","66.20"
"Oct 01, 2025","174.56","2","2","2","6","0","0","2","2","0","2","87.28"
"Oct 02, 2025","423.47","5","5","5","6","0","0","5","5","0","1","84.69"
"Oct 03, 2025","5,072.20","33","33","33","6","0","0","33","32","0","3","153.70"
"Oct 04, 2025","6,335.33","39","39","39","6","0","0","39","38","0","26","162.44"
"Oct 05, 2025","344.60","3","3","3","6","0","0","3","3","0","3","114.87"
"Oct 06, 2025","321.24","3","3","3","6","0","0","3","3","0","0","107.08"
"Oct 07, 2025","429.35","4","4","4","6","0","0","4","4","0","3","107.34"
"Oct 08, 2025","652.09","7","7","7","6","0","0","7","7","0","4","93.16"
"Oct 09, 2025","2,095.85","8","7","8","6","15","1","23","8","0","6","91.12"
"Oct 10, 2025","3,623.61","22","8","22","6","18","14","40","22","0","3","90.59"
"Oct 11, 2025","2,399.84","23","11","23","6","4","12","27","23","0","20","88.88"
"Oct 12, 2025","407.65","5","5","5","6","0","0","5","5","0","3","81.53"
"Oct 13, 2025","269.70","3","3","3","6","0","0","3","3","0","1","89.90"
"Oct 14, 2025","298.10","4","4","4","6","0","0","4","4","0","3","74.53"
"Oct 15, 2025","220.58","3","3","3","6","0","0","3","3","0","3","73.53"
"Oct 16, 2025","1,464.45","4","3","4","6","15","1","19","4","0","0","77.08"
"Oct 17, 2025","4,535.99","8","4","8","6","34","4","42","8","0","3","108.00"
"Oct 18, 2025","2,449.79","11","5","11","6","15","6","26","11","0","8","94.22"
"Oct 19, 2025","79.00","1","1","1","6","0","0","1","1","0","1","79.00"
"Oct 20, 2025","91.15","1","1","1","6","0","0","1","1","0","0","91.15"
"Oct 21, 2025","87.54","1","1","1","6","0","0","1","1","0","1","87.54"
"Oct 22, 2025","116.15","2","2","2","6","0","0","2","2","0","1","58.08"
"Oct 23, 2025","192.04","3","3","3","6","0","0","3","3","0","2","64.01"
"Oct 24, 2025","3,923.65","24","17","24","6","13","7","37","24","0","1","106.04"
"Oct 25, 2025","511.35","5","5","5","6","0","0","5","5","0","4","102.27"
"Oct 26, 2025","68.80","1","1","1","6","0","0","1","1","0","0","68.80"
"Oct 27, 2025","0.00","0","0","0","6","0","0","0","0","0","0","0.00"
"Oct 28, 2025","0.00","0","0","0","6","0","0","0","0","0","0","0.00"
"Oct 29, 2025","0.00","0","0","0","6","0","0","0","0","0","0","0.00"
"Oct 30, 2025","0.00","0","0","0","6","0","0","0","0","0","0","0.00"
"Oct 31, 2025","4,471.00","21","1","21","6","14","20","35","21","0","0","127.74"
"Nov 01, 2025","85.00","1","1","1","6","0","0","1","1","0","1","85.00"
"Nov 02, 2025","0.00","0","0","0","6","0","0","0","0","0","0","0.00"
"Nov 03, 2025","164.00","2","2","2","6","0","0","2","2","0","0","82.00"
"","100,279.00","881","728","881","407","128","153","1,009","975","0","589","99.38"

